품목코드,품목명,Pattern,period,value
DCC000136AXX,DRC-4M(A) 내수,Intermittent,2015-01-01,0.0
DCC000136AXX,DRC-4M(A) 내수,Intermittent,2015-02-01,0.0
DCC000136AXX,DRC-4M(A) 내수,Intermittent,2015-03-01,0.0
DCC000136AXX,DRC-4M(A) 내수,Intermittent,2015-04-01,0.0
DCC000136AXX,DRC-4M(A) 내수,Intermittent,2015-05-01,0.0
DCC000136AXX,DRC-4M(A) 내수,Intermittent,2015-06-01,0.0
DCC000136AXX,DRC-4M(A) 내수,Intermittent,2015-07-01,0.0
DCC000136AXX,DRC-4M(A) 내수,Intermittent,2015-08-01,0.0
DCC000136AXX,DRC-4M(A) 내수,Intermittent,2015-09-01,0.0
DCC000136AXX,DRC-4M(A) 내수,Intermittent,2015-10-01,0.0
DCC000136AXX,DRC-4M(A) 내수,Intermittent,2015-11-01,0.0
DCC000136AXX,DRC-4M(A) 내수,Intermittent,2015-12-01,0.0
DCC000136AXX,DRC-4M(A) 내수,Intermittent,2016-01-01,0.0
DCC000136AXX,DRC-4M(A) 내수,Intermittent,2016-02-01,0.0
DCC000136AXX,DRC-4M(A) 내수,Intermittent,2016-03-01,0.0
DCC000136AXX,DRC-4M(A) 내수,Intermittent,2016-04-01,0.0
DCC000136AXX,DRC-4M(A) 내수,Intermittent,2016-05-01,0.0
DCC000136AXX,DRC-4M(A) 내수,Intermittent,2016-06-01,0.0
DCC000136AXX,DRC-4M(A) 내수,Intermittent,2016-07-01,0.0
DCC000136AXX,DRC-4M(A) 내수,Intermittent,2016-08-01,0.0
DCC000136AXX,DRC-4M(A) 내수,Intermittent,2016-09-01,0.0
DCC000136AXX,DRC-4M(A) 내수,Intermittent,2016-10-01,0.0
DCC000136AXX,DRC-4M(A) 내수,Intermittent,2016-11-01,0.0
DCC000136AXX,DRC-4M(A) 내수,Intermittent,2016-12-01,0.0
DCC000136AXX,DRC-4M(A) 내수,Intermittent,2017-01-01,0.0
DCC000136AXX,DRC-4M(A) 내수,Intermittent,2017-02-01,0.0
DCC000136AXX,DRC-4M(A) 내수,Intermittent,2017-03-01,0.0
DCC000136AXX,DRC-4M(A) 내수,Intermittent,2017-04-01,0.0
DCC000136AXX,DRC-4M(A) 내수,Intermittent,2017-05-01,0.0
DCC000136AXX,DRC-4M(A) 내수,Intermittent,2017-06-01,0.0
DCC000136AXX,DRC-4M(A) 내수,Intermittent,2017-07-01,0.0
DCC000136AXX,DRC-4M(A) 내수,Intermittent,2017-08-01,0.0
DCC000136AXX,DRC-4M(A) 내수,Intermittent,2017-09-01,0.0
DCC000136AXX,DRC-4M(A) 내수,Intermittent,2017-10-01,0.0
DCC000136AXX,DRC-4M(A) 내수,Intermittent,2017-11-01,0.0
DCC000136AXX,DRC-4M(A) 내수,Intermittent,2017-12-01,0.0
DCC000136AXX,DRC-4M(A) 내수,Intermittent,2018-01-01,0.0
DCC000136AXX,DRC-4M(A) 내수,Intermittent,2018-02-01,0.0
DCC000136AXX,DRC-4M(A) 내수,Intermittent,2018-03-01,0.0
DCC000136AXX,DRC-4M(A) 내수,Intermittent,2018-04-01,0.0
DCC000136AXX,DRC-4M(A) 내수,Intermittent,2018-05-01,0.0
DCC000136AXX,DRC-4M(A) 내수,Intermittent,2018-06-01,0.0
DCC000136AXX,DRC-4M(A) 내수,Intermittent,2018-07-01,20.0
DCC000136AXX,DRC-4M(A) 내수,Intermittent,2018-08-01,280.0
DCC000136AXX,DRC-4M(A) 내수,Intermittent,2018-09-01,163.0
DCC000136AXX,DRC-4M(A) 내수,Intermittent,2018-10-01,116.0
DCC000136AXX,DRC-4M(A) 내수,Intermittent,2018-11-01,365.0
DCC000136AXX,DRC-4M(A) 내수,Intermittent,2018-12-01,1210.0
DCC000136AXX,DRC-4M(A) 내수,Intermittent,2019-01-01,364.0
DCC000136AXX,DRC-4M(A) 내수,Intermittent,2019-02-01,388.0
DCC000136AXX,DRC-4M(A) 내수,Intermittent,2019-03-01,605.0
DCC000136AXX,DRC-4M(A) 내수,Intermittent,2019-04-01,1149.0
DCC000136AXX,DRC-4M(A) 내수,Intermittent,2019-05-01,638.0
DCC000136AXX,DRC-4M(A) 내수,Intermittent,2019-06-01,3136.0
DCC000136AXX,DRC-4M(A) 내수,Intermittent,2019-07-01,1822.0
DCC000136AXX,DRC-4M(A) 내수,Intermittent,2019-08-01,1528.0
DCC000136AXX,DRC-4M(A) 내수,Intermittent,2019-09-01,1012.0
DCC000136AXX,DRC-4M(A) 내수,Intermittent,2019-10-01,1055.0
DCC000136AXX,DRC-4M(A) 내수,Intermittent,2019-11-01,2155.0
DCC000136AXX,DRC-4M(A) 내수,Intermittent,2019-12-01,1744.0
DCC000136AXX,DRC-4M(A) 내수,Intermittent,2020-01-01,860.0
DCC000136AXX,DRC-4M(A) 내수,Intermittent,2020-02-01,1386.0
DCC000136AXX,DRC-4M(A) 내수,Intermittent,2020-03-01,1404.0
DCC000136AXX,DRC-4M(A) 내수,Intermittent,2020-04-01,1808.0
DCC000136AXX,DRC-4M(A) 내수,Intermittent,2020-05-01,2219.0
DCC000136AXX,DRC-4M(A) 내수,Intermittent,2020-06-01,3090.0
DCC000136AXX,DRC-4M(A) 내수,Intermittent,2020-07-01,3477.0
DCC000136AXX,DRC-4M(A) 내수,Intermittent,2020-08-01,2120.0
DCC000136AXX,DRC-4M(A) 내수,Intermittent,2020-09-01,1689.0
DCC000136AXX,DRC-4M(A) 내수,Intermittent,2020-10-01,2536.0
DCC000136AXX,DRC-4M(A) 내수,Intermittent,2020-11-01,2602.0
DCC000136AXX,DRC-4M(A) 내수,Intermittent,2020-12-01,7230.0
DCC000136AXX,DRC-4M(A) 내수,Intermittent,2021-01-01,3100.0
DCC000136AXX,DRC-4M(A) 내수,Intermittent,2021-02-01,1767.0
DCC000136AXX,DRC-4M(A) 내수,Intermittent,2021-03-01,1654.0
DCC000136AXX,DRC-4M(A) 내수,Intermittent,2021-04-01,4427.0
DCC000136AXX,DRC-4M(A) 내수,Intermittent,2021-05-01,3445.0
DCC000136AXX,DRC-4M(A) 내수,Intermittent,2021-06-01,1965.0
DCC000136AXX,DRC-4M(A) 내수,Intermittent,2021-07-01,2094.0
DCC000136AXX,DRC-4M(A) 내수,Intermittent,2021-08-01,3704.0
DCC000136AXX,DRC-4M(A) 내수,Intermittent,2021-09-01,1201.0
DCC000136AXX,DRC-4M(A) 내수,Intermittent,2021-10-01,4392.0
DCC000136AXX,DRC-4M(A) 내수,Intermittent,2021-11-01,3638.0
DCC000136AXX,DRC-4M(A) 내수,Intermittent,2021-12-01,2616.0
DCC000136AXX,DRC-4M(A) 내수,Intermittent,2022-01-01,2150.0
DCC000136AXX,DRC-4M(A) 내수,Intermittent,2022-02-01,2821.0
DCC000136AXX,DRC-4M(A) 내수,Intermittent,2022-03-01,4303.0
DCC000136AXX,DRC-4M(A) 내수,Intermittent,2022-04-01,3740.0
DCC000136AXX,DRC-4M(A) 내수,Intermittent,2022-05-01,3517.0
DCC000136AXX,DRC-4M(A) 내수,Intermittent,2022-06-01,3896.0
DCC000136AXX,DRC-4M(A) 내수,Intermittent,2022-07-01,2066.0
DCC000136AXX,DRC-4M(A) 내수,Intermittent,2022-08-01,2484.0
DCC000136AXX,DRC-4M(A) 내수,Intermittent,2022-09-01,3225.0
DCC000136AXX,DRC-4M(A) 내수,Intermittent,2022-10-01,2983.0
DCC000136AXX,DRC-4M(A) 내수,Intermittent,2022-11-01,4001.0
DCC000136AXX,DRC-4M(A) 내수,Intermittent,2022-12-01,2559.0
DCC000136AXX,DRC-4M(A) 내수,Intermittent,2023-01-01,2042.0
DCC000136AXX,DRC-4M(A) 내수,Intermittent,2023-02-01,2063.0
DCC000136AXX,DRC-4M(A) 내수,Intermittent,2023-03-01,3336.0
DCC000136AXX,DRC-4M(A) 내수,Intermittent,2023-04-01,3680.0
DCC000136AXX,DRC-4M(A) 내수,Intermittent,2023-05-01,3233.0
DCC000136AXX,DRC-4M(A) 내수,Intermittent,2023-06-01,1648.0
DCC000136AXX,DRC-4M(A) 내수,Intermittent,2023-07-01,2343.0
DCC000136AXX,DRC-4M(A) 내수,Intermittent,2023-08-01,1539.0
DCC000136AXX,DRC-4M(A) 내수,Intermittent,2023-09-01,1699.0
DCC000136AXX,DRC-4M(A) 내수,Intermittent,2023-10-01,2757.0
DCC000136AXX,DRC-4M(A) 내수,Intermittent,2023-11-01,2148.0
DCC000136AXX,DRC-4M(A) 내수,Intermittent,2023-12-01,1604.0
DCC000136AXX,DRC-4M(A) 내수,Intermittent,2024-01-01,1229.0
DCC000136AXX,DRC-4M(A) 내수,Intermittent,2024-02-01,1418.0
DCC000136AXX,DRC-4M(A) 내수,Intermittent,2024-03-01,2030.0
DCC000136AXX,DRC-4M(A) 내수,Intermittent,2024-04-01,3933.0
DCC000136AXX,DRC-4M(A) 내수,Intermittent,2024-05-01,2712.0
DCC000136AXX,DRC-4M(A) 내수,Intermittent,2024-06-01,2859.0
DCC000136AXX,DRC-4M(A) 내수,Intermittent,2024-07-01,2973.0
DCC000136AXX,DRC-4M(A) 내수,Intermittent,2024-08-01,586.0
DCC000136AXX,DRC-4M(A) 내수,Intermittent,2024-09-01,1405.0
DCC000136AXX,DRC-4M(A) 내수,Intermittent,2024-10-01,1108.0
DCC000136AXX,DRC-4M(A) 내수,Intermittent,2024-11-01,990.0
DCC000136AXX,DRC-4M(A) 내수,Intermittent,2024-12-01,1347.0
DCC000136AXX,DRC-4M(A) 내수,Intermittent,2025-01-01,988.0
DCC000136AXX,DRC-4M(A) 내수,Intermittent,2025-02-01,1475.0
DCC000136AXX,DRC-4M(A) 내수,Intermittent,2025-03-01,1000.0
DCC000136AXX,DRC-4M(A) 내수,Intermittent,2025-04-01,812.0
DCC000136AXX,DRC-4M(A) 내수,Intermittent,2025-05-01,691.0
DCC000136AXX,DRC-4M(A) 내수,Intermittent,2025-06-01,1069.0
DCC000136AXX,DRC-4M(A) 내수,Intermittent,2025-07-01,1579.0
DCC000136AXX,DRC-4M(A) 내수,Intermittent,2025-08-01,1477.0
DCC000156AXX,DRC-4Y 내수 (C),Intermittent,2015-01-01,0.0
DCC000156AXX,DRC-4Y 내수 (C),Intermittent,2015-02-01,0.0
DCC000156AXX,DRC-4Y 내수 (C),Intermittent,2015-03-01,0.0
DCC000156AXX,DRC-4Y 내수 (C),Intermittent,2015-04-01,0.0
DCC000156AXX,DRC-4Y 내수 (C),Intermittent,2015-05-01,0.0
DCC000156AXX,DRC-4Y 내수 (C),Intermittent,2015-06-01,0.0
DCC000156AXX,DRC-4Y 내수 (C),Intermittent,2015-07-01,0.0
DCC000156AXX,DRC-4Y 내수 (C),Intermittent,2015-08-01,0.0
DCC000156AXX,DRC-4Y 내수 (C),Intermittent,2015-09-01,0.0
DCC000156AXX,DRC-4Y 내수 (C),Intermittent,2015-10-01,0.0
DCC000156AXX,DRC-4Y 내수 (C),Intermittent,2015-11-01,0.0
DCC000156AXX,DRC-4Y 내수 (C),Intermittent,2015-12-01,0.0
DCC000156AXX,DRC-4Y 내수 (C),Intermittent,2016-01-01,0.0
DCC000156AXX,DRC-4Y 내수 (C),Intermittent,2016-02-01,0.0
DCC000156AXX,DRC-4Y 내수 (C),Intermittent,2016-03-01,0.0
DCC000156AXX,DRC-4Y 내수 (C),Intermittent,2016-04-01,0.0
DCC000156AXX,DRC-4Y 내수 (C),Intermittent,2016-05-01,0.0
DCC000156AXX,DRC-4Y 내수 (C),Intermittent,2016-06-01,0.0
DCC000156AXX,DRC-4Y 내수 (C),Intermittent,2016-07-01,0.0
DCC000156AXX,DRC-4Y 내수 (C),Intermittent,2016-08-01,0.0
DCC000156AXX,DRC-4Y 내수 (C),Intermittent,2016-09-01,0.0
DCC000156AXX,DRC-4Y 내수 (C),Intermittent,2016-10-01,0.0
DCC000156AXX,DRC-4Y 내수 (C),Intermittent,2016-11-01,0.0
DCC000156AXX,DRC-4Y 내수 (C),Intermittent,2016-12-01,0.0
DCC000156AXX,DRC-4Y 내수 (C),Intermittent,2017-01-01,0.0
DCC000156AXX,DRC-4Y 내수 (C),Intermittent,2017-02-01,0.0
DCC000156AXX,DRC-4Y 내수 (C),Intermittent,2017-03-01,0.0
DCC000156AXX,DRC-4Y 내수 (C),Intermittent,2017-04-01,0.0
DCC000156AXX,DRC-4Y 내수 (C),Intermittent,2017-05-01,0.0
DCC000156AXX,DRC-4Y 내수 (C),Intermittent,2017-06-01,0.0
DCC000156AXX,DRC-4Y 내수 (C),Intermittent,2017-07-01,0.0
DCC000156AXX,DRC-4Y 내수 (C),Intermittent,2017-08-01,0.0
DCC000156AXX,DRC-4Y 내수 (C),Intermittent,2017-09-01,0.0
DCC000156AXX,DRC-4Y 내수 (C),Intermittent,2017-10-01,0.0
DCC000156AXX,DRC-4Y 내수 (C),Intermittent,2017-11-01,0.0
DCC000156AXX,DRC-4Y 내수 (C),Intermittent,2017-12-01,0.0
DCC000156AXX,DRC-4Y 내수 (C),Intermittent,2018-01-01,0.0
DCC000156AXX,DRC-4Y 내수 (C),Intermittent,2018-02-01,0.0
DCC000156AXX,DRC-4Y 내수 (C),Intermittent,2018-03-01,0.0
DCC000156AXX,DRC-4Y 내수 (C),Intermittent,2018-04-01,0.0
DCC000156AXX,DRC-4Y 내수 (C),Intermittent,2018-05-01,0.0
DCC000156AXX,DRC-4Y 내수 (C),Intermittent,2018-06-01,0.0
DCC000156AXX,DRC-4Y 내수 (C),Intermittent,2018-07-01,0.0
DCC000156AXX,DRC-4Y 내수 (C),Intermittent,2018-08-01,0.0
DCC000156AXX,DRC-4Y 내수 (C),Intermittent,2018-09-01,0.0
DCC000156AXX,DRC-4Y 내수 (C),Intermittent,2018-10-01,0.0
DCC000156AXX,DRC-4Y 내수 (C),Intermittent,2018-11-01,0.0
DCC000156AXX,DRC-4Y 내수 (C),Intermittent,2018-12-01,0.0
DCC000156AXX,DRC-4Y 내수 (C),Intermittent,2019-01-01,0.0
DCC000156AXX,DRC-4Y 내수 (C),Intermittent,2019-02-01,0.0
DCC000156AXX,DRC-4Y 내수 (C),Intermittent,2019-03-01,0.0
DCC000156AXX,DRC-4Y 내수 (C),Intermittent,2019-04-01,0.0
DCC000156AXX,DRC-4Y 내수 (C),Intermittent,2019-05-01,0.0
DCC000156AXX,DRC-4Y 내수 (C),Intermittent,2019-06-01,0.0
DCC000156AXX,DRC-4Y 내수 (C),Intermittent,2019-07-01,0.0
DCC000156AXX,DRC-4Y 내수 (C),Intermittent,2019-08-01,1318.0
DCC000156AXX,DRC-4Y 내수 (C),Intermittent,2019-09-01,4597.0
DCC000156AXX,DRC-4Y 내수 (C),Intermittent,2019-10-01,1628.0
DCC000156AXX,DRC-4Y 내수 (C),Intermittent,2019-11-01,3909.0
DCC000156AXX,DRC-4Y 내수 (C),Intermittent,2019-12-01,4383.0
DCC000156AXX,DRC-4Y 내수 (C),Intermittent,2020-01-01,1867.0
DCC000156AXX,DRC-4Y 내수 (C),Intermittent,2020-02-01,2309.0
DCC000156AXX,DRC-4Y 내수 (C),Intermittent,2020-03-01,1558.0
DCC000156AXX,DRC-4Y 내수 (C),Intermittent,2020-04-01,2744.0
DCC000156AXX,DRC-4Y 내수 (C),Intermittent,2020-05-01,963.0
DCC000156AXX,DRC-4Y 내수 (C),Intermittent,2020-06-01,2989.0
DCC000156AXX,DRC-4Y 내수 (C),Intermittent,2020-07-01,2074.0
DCC000156AXX,DRC-4Y 내수 (C),Intermittent,2020-08-01,482.0
DCC000156AXX,DRC-4Y 내수 (C),Intermittent,2020-09-01,1977.0
